"tau","threshold_t_long_square","thumbnail_sweep_id","threshold_v_short_square","threshold_v_ramp","peak_v_short_square","avg_isi","sag","trough_t_ramp","threshold_t_ramp","slow_trough_v_ramp","adaptation","has_pause","electrode_0_pa","trough_v_long_square","input_resistance_mohm","id","latency","fast_trough_v_ramp","vm_for_sag","slow_trough_v_long_square","rheobase_sweep_id","peak_t_ramp","threshold_t_short_square","has_burst","upstroke_downstroke_ratio_short_square","slow_trough_t_long_square","threshold_v_long_square","fast_trough_t_long_square","ri","has_delay","upstroke_downstroke_ratio_ramp","trough_t_long_square","specimen_id","threshold_i_long_square","threshold_i_short_square","rheobase_sweep_number","peak_v_ramp","fast_trough_v_short_square","fast_trough_t_short_square","peak_t_short_square","threshold_i_ramp","slow_trough_v_short_square","fast_trough_t_ramp","slow_trough_t_short_square","trough_v_short_square","slow_trough_t_ramp","f_i_curve_slope","trough_t_short_square","peak_t_long_square","seal_gohm","fast_trough_v_long_square","upstroke_downstroke_ratio_long_square","trough_v_ramp","peak_v_long_square","vrest"
"3.47211353612932","1.916615","485067112","-46.6937538146973","-35.0833333333333","24.2562511444092","13.1805172413793","0.0624788701534271","24.5871116666667","24.5861966666667","","-0.000115878923357993","False","","-56.2500038146973","59.547116","485071681","0.229105","-60.5104204813639","-89.21875","","485067135","24.5864716666667","1.023062","False","1.21379638988187","","-30.6875019073486","1.917515","36.8750393390656","False","1.14866673391725","1.91752","485060618","720.0","1030.0","84","18.8958339691162","-64.4062515258789","1.023878","1.023307","589.166666666667","-78.1125045776367","24.58707","1.209065","-78.1125045776367","","0.804908080472225","1.209065","1.91689","2.336648704","-56.15625","1.1193674548947","-60.6354204813639","12.8750009536743","-77.2948837280273"
"9.89577852427289","1.03426","570104476","-40.6250012715658","-27.0729173024495","17.0260429382324","15.3165625","0.0390215031802654","10.0544266666667","10.05224","","0.00192965607173014","False","-37.5625017201564","-56.3125","212.87088","663815251","0.0117200000000002","-52.8541679382324","-84.78125","","570104465","10.0527066666667","1.02308333333333","False","1.49673626054376","","-32.71875","1.03556","130.937501788139","False","1.07455761707308","1.03558","570098371","240.0","630.0","52","6.43750031789144","-59.4375031789144","1.02422333333333","1.02337666666667","225.791666666667","","10.0539533333333","","-71.9062512715658","","0.768394416178455","1.47529666666667","1.03464","1.120363264","-56.1875038146973","1.37807215017121","-53.1458371480306","13.1562509536743","-70.6496047973633"
"6.63472566906263","1.058185","485069916","-46.9062507629395","-35.4895858764648","20.8000015258789","32.6588333333333","0.0518363006412983","10.6264283333333","10.625285","","0.0160351715621132","False","17.3824999533112","-60.1562538146973","110.886216","485072340","0.0153100000000002","-59.0104179382324","-81.3437576293945","","485069964","10.62564","1.023042","False","1.35649267710543","","-40.9687538146973","1.059165","100.468829274178","False","1.10840816680842","1.0592","485061364","200.0","460.0","69","17.0937519073486","-61.9625030517578","1.024029","1.023325","240.125005086263","-71.0562515258789","10.6263833333333","1.184064","-71.0562515258789","","0.723165231889845","1.184064","1.058475","3.040214528","-60.0625","1.32108033340781","-59.1770871480306","14.4062509536743","-70.4083404541016"
"18.5246669898204","1.08348","555008328","-48.3750022888184","-37.2708333333333","37.5625","127.748","0.0947092920541763","6.21982666666667","6.21778","","0.107433029966778","False","-1.80500005133449","-59.3750038146973","196.80464","555011717","0.0247000000000002","-59.7291704813639","-93.0625076293945","","555008324","6.21820666666667","1.023084","False","2.10883167839976","","-41.46875","1.08524","169.374957680702","False","2.2670155787245","1.08528","555001065","230.0","660.0","39","37.3541679382324","-63.7250030517578","1.024616","1.023488","129.958330790202","","6.21963333333333","","-74.7625030517578","","0.34735068893222","1.668724","1.08394","1.0980864","-59.3125038146973","2.18732675807598","-59.8541679382324","36.1875038146973","-74.1729278564453"
"8.63410403762582","1.06508","587103301","-46.6171894073486","-34.9270871480306","46.0078144073486","113.52","0.0986323431134224","4.54368666666667","4.54204","-47.3229192097982","-0.0773212648486337","False","38.9124982236311","-53.0625038146973","330.290336","587122244","0.0125000000000002","-51.4270846048991","-99.6875","-49.9687538146973","587103286","4.54246666666667","1.023075","False","3.49165448621991","1.09706","-34.9687538146973","1.06662","191.29467010498","False","2.62305505430996","1.06668","587098017","100.0","320.0","40","36.5937512715658","-56.9453153610229","1.0245","1.023375","88.0416666666667","","4.54366","","-77.7890625","4.56787333333333","0.0429530282856294","1.716735","1.06546","1.556870144","-53.0000038146973","2.64112860335726","-51.4687525431315","34.9062538146973","-77.4709625244141"
"30.1809184026057","1.10652","571741697","-47.046875","-44.3750025431315","53.3359394073486","112.995","0.107519410550594","4.02132666666667","3.96878","","0.067571591716386","False","53.3025013016442","-53.1875","54.873168","571751909","0.04878","-54.6458371480306","-77.5312576293945","","571741689","3.96924","1.02315","False","5.06404892681704","","-42.9375038146973","1.10924","76.1718526482582","False","5.22867135002346","1.1095","571735073","100.0","870.0","52","52.9479192097982","-53.6328134536743","1.025605","1.02359","73.75","","3.97162666666667","","-60.9687519073486","","0.081875","1.178635","1.10698","1.234991872","-53.0000038146973","4.97328244261946","-55.2708358764648","53.5625038146973","-60.3107299804688"
"16.4014739991401","1.10857","489889008","-48.9375015258789","-38.8958346048991","49.1187538146973","86.4995","0.0255275797098875","6.29076333333333","6.25798333333333","-55.2812538146973","0.0648533743858943","False","-24.0524995753777","-54.5000038146973","133.23188","489889769","0.04484","-53.1666692097982","-98.7812576293945","-53.8750038146973","489889004","6.25833166666667","1.023002","False","4.43752219962254","1.13468","-42.2500038146973","1.11045","164.218708872795","False","4.32981032647605","1.110525","489888847","110.0","700.0","37","49.1250025431315","-55.1812522888184","1.024687","1.023315","130.958330790202","-84.2562530517578","6.259855","1.618887","-84.2562530517578","6.29076333333333","0.220637078930314","1.618887","1.10893","1.27947584","-54.40625","4.27888604084396","-55.2812538146973","46.90625","-83.1545486450195"
"8.41077145937001","1.048025","466347009","-48.140625","-35.25","24.6093759536743","23.834756097561","0.0793210864067078","8.87788666666667","8.87672166666667","","0.00661822939739147","False","7.25249981597953","-62.8437538146973","179.584672","466434928","0.0100500000000001","-61.3645833333333","-85.4687576293945","-44.28125","466347003","8.87707166666667","1.0230675","False","1.41722858355995","1.076205","-39.09375","1.04906","115.000002086163","False","1.25196309781372","1.049095","466245544","170.0","170.0","35","21.4270833333333","-65.109375","1.02409","1.0233625","196.458333333333","-72.1406288146973","8.87785833333333","1.6900275","-72.1406288146973","","1.03439201451906","1.6900275","1.04834","1.556904832","-62.71875","1.29428584053026","-61.4895846048991","22.125","-71.0717086791992"
"18.1879194474147","1.23886","479731770","-51.6640653610229","-38.8125012715658","49.0859403610229","76.5104545454546","0.0170657318085432","4.89354666666667","4.84530666666667","-57.2291704813639","0.0388427171251858","False","-39.1499992147271","-59.6875038146973","137.685472","479734089","0.065985","-51.4479192097982","-98.15625","-59.6875038146973","479731766","4.84568833333333","1.02307375","False","4.74928668329707","1.272245","-39.1250038146973","1.24127","135.937422513962","False","4.1570635998807","1.272245","479728896","90.0","949.999938964844","35","47.6979192097982","-52.4062538146973","1.02510375","1.02342625","95.625","-83.9062519073486","4.84757333333333","1.73194","-83.9062519073486","4.89354666666667","0.185227281199998","1.73194","1.239245","1.811929856","-51.1875038146973","4.14306939848789","-57.2291704813639","46.3125038146973","-83.6219711303711"
"23.0702091880789","1.188755","504615439","-42.1171875","-38.5416692097982","30.8281264305115","85.4885","0.158224105834961","4.02273333333333","3.98444333333333","-58.5625","0.0113306263042293","False","1.766875057721","-58.3437538146973","172.50608","504618599","0.0657400000000001","-50.0000025431315","-93.8437576293945","-58.3437538146973","504615435","3.98493333333333","1.02301875","False","3.03383772257309","1.230645","-37.2187538146973","1.193115","185.625001788139","False","3.28537505572211","1.230645","504614622","70.0","900.0","31","35.5416679382324","-54.2265653610229","1.02548875","1.0234375","74.0833333333333","","3.98781833333333","","-74.8281307220459","4.02273333333333","0.142424242424242","1.37239","1.189235","1.249789184","-50.15625","3.47414805926566","-58.5625","34.3125","-73.4625091552734"
"7.61277475208213","1.026285","478830101","-45.9562530517578","","19.1750003814697","","0.0648461952805519","","","","","False","11.8350008612711","-62.0937538146973","94.047712","478830721","0.00509000000000004","","-94.21875","","478830095","","1.022653","False","1.24360031318541","","-39.875","1.0271","112.499997019768","False","","1.027125","478828646","410.0","710.0","58","","-61.7125030517578","1.023431","1.022885","","","","","-72.0562530517578","","1.41897685323288","1.409948","1.026545","1.967927296","-62.0","1.21147645137598","","17.90625","-71.3283004760742"
